nombre;telefono;correo;direccion
Pedro Muñoz;925856471;pedromunoz@gmail.com;Valdivia
María González;912345678;mariagonzalez@example.com;Santiago
Juan Pérez;987654321;juan.perez@mail.com;Las Condes
Ana López;912000111;ana.lopez@example.cl;Puerto Montt
Carlos Ramírez;912222333;carlos.ramirez@mail.cl;Temuco
Sofía Torres;912333444;sofia.torres@gmail.com;Arica
Diego Fernández;912444555;diego.fernandez@example.com;Punta Arenas
Laura Castillo;912555666;laura.castillo@mail.com;Concepcion
Andrés Silva;912666777;andres.silva@example.cl;Iquique
Natalia Rojas;912777888;natalia.rojas@gmail.com;Rancagua
